Data Sample,Implicit Meaning,Explicit Meaning,Category,Hallucination Types,Idiom Phrases,Meaning of Idiom Phrases
"সে ছিল ধরতাই বুলি, চালু কথাই শুধু বলত।",,,,,,
"সে সব সময় ধড়া-চূড়া পরত, সাজপোশাক তার ছিল খুব আকর্ষণীয়।",,,,,,
"সে ছিল ধোপার গাধা, ভারবাহী হয়ে কাজ করত সব সময়।",,,,,,
"সে ছিল ধোপা নাপিতা বন্ধ করা, একঘরে করে ফেলেছিল সবাইকে।",,,,,,
"সে ছিল ধড়ে প্রাণ আসা, বিপদ থেকে উদ্ধার পাওয়ার পর আবার জীবিত হয়ে উঠল।",,,,,,
"তার জীবন ছিল ধর্মের কল, সত্যের পথে চলতে সে কখনো পিছপা হয়নি।",,,,,,
"সে ছিল ধরি মাছ না ছুই পানি, সব কিছু কৌশলে করে ফেলত।",,,,,,
"সে ছিল ধর্মপুত্র যুধিষ্ঠির, অত্যন্ত ধার্মিক এবং সত্যবাদী।",,,,,,
"সে ছিল ধান দিয়ে লেখাপড়া শেখা, নামমাত্র খরচে নিজেকে প্রতিষ্ঠিত করেছিল।",,,,,,
"সে ছিল ধর্মের ষাঁড়, স্বেচ্ছাচারী ব্যক্তি ছিল, সব কাজই নিজের মত করত।",,,,,,
"তার জীবনে ছিল ধুন্ধুমার, তুমুল কাণ্ড ঘটছিল চারপাশে।",,,,,,
"সে ছিল ধাষ্টামি, সব সময় দুঃসাহসিক কাজে লিপ্ত থাকত।",,,,,,
"সে ছিল ধিনিকেষ্ট, দায়িত্ব পালনে কোনো আগ্রহ ছিল না।",,,,,,
"সে ছিল ধুমড়ো লোচন, কিম্ভূত ধরনের লোক ছিল, সবসময় আশ্চর্যজনক কাজ করত।",,,,,,
"সে ছিল ধুমুল দেয়া, সব সময় প্রচার করতে থাকত।",,,,,,
"সে ছিল ঢুলুঢুলু, অবিন্যস্ত হয়ে যাচ্ছিল।",,,,,,
"সে ছিল ধানাই-পানাই, সবসময় আবোল তাবোল কথা বলত।",,,,,,
"সে ছিল ধ্যাড়ানো, সব কিছু পণ্ড করে ফেলে চলে যেত।",,,,,,
"সে সব সময় ধোয়ানো করত, তিরস্কার ও গালমন্দ করতে থাকত।",,,,,,
"সে ছিল ধোঁকার টাটি, সব কিছু প্রতারণার উপরের আবরণ ছিল।",,,,,,
"সে ছিল ধেয়ে নাচনি, কোনো কাজ করত না এমন স্ত্রীলোক ছিল।",,,,,,
"সে ছিল ধান ভানতে শিবের গীত, অপ্রাসঙ্গিক বিষয় নিয়ে আলোচনা করত।",,,,,,
"সে ছিল ধোপে টেকা, সময়ের পরীক্ষায় উত্তীর্ণ হতে পারল না।",,,,,,
"সে ছিল ন কড়া ছ কড়া, সব কিছু হেলাফেলা করত।",,,,,,
"সে ছিল নাক ডুবানো, গৌরব বিসর্জন দিয়ে চলত।",,,,,,
"সে ছিল নবমী দশা, মূর্ছা হয়ে পড়েছিল।",,,,,,
"সে ছিল নাটের গুরু, মূলনায়ক ছিল সভায়।",,,,,,
"সে ছিল নখদর্পণে, পুঙ্খানুপুঙ্খভাবে সবকিছু আয়ত্তে রাখতে পারত।",,,,,,
"সে ছিল নদের চাঁদ, সুন্দর ব্যক্তি হলেও অপদার্থ ছিল।",,,,,,
"সে ছিল ন মাসে ছ মাসে, কালে-ভদ্রে কিছু করত।",,,,,,
"সে ছিল ন-দুয়ারি, দ্বারে দ্বারে ঘুরে কাজ করতে থাকত।",,,,,,
"সে ছিল নাচতে নেমে ঘোমটা, সবসময় বৃথা লজ্জা করত।",,,,,,
"সে ছিল নারদের ঢেঁকি, সব সময় বিবাদের বিষয় নিয়ে চিন্তা করত।",,,,,,
"সে ছিল নিজের ঢাক নিজে পেটানো, সবকিছু নিজেই প্রকাশ করত।",,,,,,
"সে ছিল নগদ নারায়ণ, সবকিছু নগদ অর্থ দিয়ে সমাধান করত।",,,,,,
"সে ছিল নজর দেওয়া, কুদৃষ্টি দিয়ে সবাইকে বিরক্ত করত।",,,,,,
"সে ছিল নিমরাজি, সব কিছু আংশিকভাবে স্বীকার করত।",,,,,,
"সে ছিল নটখট, সব সময় গোলমাল করত।",,,,,,
"সে ছিল নটঘট, সব সময় কেলেঙ্কারি করত।",,,,,,
"সে ছিল নটখটি, সব সময় নষ্টামি করত।",,,,,,
"সে ছিল ননদী ভূলী, সব সময় কুকর্মের সাথী ছিল।",,,,,,
"সে ছিল নব কার্তিক, সুদর্শন কিন্তু অকর্মণ্য ছিল।",,,,,,
"সে ছিল নাক উঁচানো, সবকিছু অবজ্ঞা করে চলত।",,,,,,
"সে ছিল নাড় গোপাল, আদুরে ছেলে ছিল।",,,,,,
"সে ছিল নাকাল হওয়া, সব সময় জব্দ হয়ে চলত।",,,,,,
"সে ছিল নাদাপেটা, মস্ত ভুঁড়িওয়ালা ছিল।",,,,,,
"সে ছিল নেই আঁকড়া, সব সময় একগুঁয়ে ছিল।",,,,,,
"সে ছিল নাক সিটকানো, সবকিছু অবজ্ঞা করত।",,,,,,
"সে ছিল নাড়াবুনে, মূর্খ ছিল।",,,,,,
"সে ছিল নিরানব্বইয়ের ধাক্কা, সঞ্চয়ের প্রবৃত্তি ছিল তার মধ্যে।",,,,,,
"সে ছিল নরক গুলজার, অনেক লোক একসঙ্গে জুটে সরগরম করছিল।",,,,,,
"সে ছিল নোলা বাড়ানো, সব কিছু লোভ করছিল।",,,,,,
"সে ছিল নুড়ো জ্বেলে দেওয়া, মৃত্যুর কামনা করছিল।",,,,,,
"সে ছিল নকশা করা, সব সময় তামাশা করত এবং ন্যাকামি করত।",,,,,,
"সে ছিল নন্দভৃঙ্গি, আদুরে এবং অকর্মণ্য ছিল।",,,,,,
"সে ছিল নয়দুয়ারি, দ্বারে দ্বারে ভিক্ষা করে চলত।",,,,,,
"সে ছিল নাগাড় মারা, সব কাজ শেষ করতে চাইত।",,,,,,
"সে ছিল নালায়েক, অক্ষম ও অপদার্থ ছিল।",,,,,,
"সে ছিল নেংটি পড়া, অত্যন্ত দরিদ্র ছিল।",,,,,,
"সে ছিল নিকুচি করা, সব কিছু শেষ করে ফেলেছিল।",,,,,,
"সে ছিল নাম কাটা সেপাই, কর্মচ্যুত ব্যক্তি ছিল।",,,,,,
"সে ছিল নবমীর পাঁঠা, প্রাণভয়ে ভীত ছিল।",,,,,,
"সে ছিল ন্যাতপ্যাত, সব সময় নরম ভাব নিয়ে চলত।",,,,,,
"সে ছিল ব্যক্তির নবাবী চাল, অতিরিক্ত বিলাসিতায় মগ্ন ছিল।",,,,,,
"সে ছিল নিজের চরকায় তেল দেওয়া, নিজের কাজে মন দেওয়া ছিল।",,,,,,
"সে ছিল নিজের কোলে ঝোল টানা, চরম স্বার্থপরতা করত।",,,,,,
"সে ছিল নিজের নাক কেটে পরের যাত্রা ভঙ্গ করা, নিজের ক্ষতি করেও অন্যদের ক্ষতি করত।",,,,,,
"সে ছিল পঞ্চমুখ, প্রশংসায় মুখরিত ছিল।",,,,,,
"সে ছিল পরশুরামের কুঠার, সর্বসংহারক অস্ত্র ছিল তার কাছে।",,,,,,
"সে ছিল পটল তোলা, মারা যাওয়ার প্রস্তুতি নিচ্ছিল।",,,,,,
"সে ছিল পাথরে পাঁচ কিল, সুখের সময় জীবন কাটাচ্ছিল।",,,,,,
"সে ছিল পেটে ভাতে, শুধু আহার্য নিয়ে চলত।",,,,,,
"সে ছিল পি পু ফি শু, অত্যন্ত অলস ছিল।",,,,,,
"সে ছিল পান থেকে চুন খসা, সামান্য ত্রুটি সৃষ্টিকারী ছিল।",,,,,,
"সে ছিল পান্তা ভাতে ঘি, অপব্যবহার করে চলত।",,,,,,
"সে ছিল পুঁটি মাছের প্রাণ, ক্ষুদ্র প্রাণ ছিল তার জীবনে।",,,,,,
"সে ছিল পঞ্চত্ব প্রাপ্ত হওয়া, মারা যাওয়া।",,,,,,
"সে ছিল পোয়াবারো, সুসময়ে চলছিল।",,,,,,
"সে ছিল পশ্চিমদিকে সূর্য উঠা, অসম্ভব ব্যাপার ছিল তার।",,,,,,
"সে ছিল পুরনো কাসুন্দি ঘাটা, অপ্রীতিকর আলোচনা করছিল।",,,,,,
"সে ছিল পত্রপাঠ, তৎক্ষণাৎ কিছু করার চেষ্টা করছিল।",,,,,,
"সে ছিল পালের গোদা, দলপতি ছিল।",,,,,,
"সে ছিল পয়লা নম্বর, অতি চমৎকার ছিল।",,,,,,
"সে ছিল পরঘড়ি পান্তা মারি, হাড়হাভাতে লোক ছিল।",,,,,,
"সে ছিল পায়ে রাখা, আশ্রয় দিত সবাইকে।",,,,,,
"সে ছিল পাকে-প্রকারে, কল ও কৌশলে কাজ করছিল।",,,,,,
"সে ছিল পাষাণ ভাঙা, দাঁড়িপাল্লায় ফের ভাঙা হচ্ছিল।",,,,,,
"সে ছিল পাণ্ডবর্জিত, সভ্য লোকের বাসের অযোগ্য ছিল।",,,,,,
"সে ছিল পুঁথি বাড়ানো, ফেনিয়ে বর্ণনা করছিল।",,,,,,
"সে ছিল পটের বিবি, সুসজ্জিত ছিল।",,,,,,
"সে ছিল পগারপার, পালিয়ে যাচ্ছিল।",,,,,,
"সে ছিল পট্টি দেয়া, বাজে কথা বলত।",,,,,,
"সে ছিল পয়মন্ত, সুলক্ষণযুক্ত ছিল।",,,,,,
"সে ছিল পয়মাল হওয়া, নষ্ট হয়ে গিয়েছিল।",,,,,,
"সে ছিল পাকে পড়া, বিপদে পড়ে গিয়েছিল।",,,,,,
"সে ছিল পাঁচ কথা, কটু কথা বলত।",,,,,,
"সে ছিল পাঁচকান করা, প্রচার করছিল।",,,,,,
"সে ছিল পাতা করা বা দেয়া, আড়িপাতা করছিল।",,,,,,
"সে ছিল পাট তোলা, কারবার গুটানো ছিল।",,,,,,
"সে ছিল পাথালিকোলা, আড়তোলা ছিল।",,,,,,
"সে ছিল পিণিগেলা, অনিচ্ছায় খাচ্ছিল।",,,,,,
"সে ছিল পুঁইয়ে পাওয়া, শীর্ণতা বা রোগগ্রস্ত ছিল।",,,,,,
"সে ছিল পেঁয়াজি করা, ফাজলামো করছিল।",,,,,,
"সে ছিল পেটের কথা, মনের কথা বলত সব সময়।",,,,,,
"সে ছিল পারের কড়ি, পরকালের জন্য সঞ্চিত সম্বল ছিল।",,,,,,
"সে ছিল নিজের কোলে ঝোল টানা, চরম স্বার্থপরতা করছিল।",,,,,,
"সে ছিল পেটের শত্রু, যে সন্তান মায়ের দুঃখের কারণ ছিল।",,,,,,
"সে ছিল পড়ে পাওয়া চোদ্দ আনা, বিনা পরিশ্রমে প্রাপ্ত ছিল।",,,,,,
"সে ছিল পর্বতের মূষিক প্রসব, বিরাট সম্ভাবনার সামান্য প্রাপ্তি হয়েছিল।",,,,,,
"সে ছিল পিঁপড়ের পেট টেপা, অত্যধিক হিসাব করে চলত।",,,,,,
"সে ছিল পাকা চুলে সিঁদুর পরা, বৃদ্ধ বয়স পর্যন্ত সধবা ছিল।",,,,,,
"সে ছিল ফেউ লাগা, কাউকে ক্রমাগত বিরক্ত করছিল।",,,,,,
"সে ছিল ফাঁদে পা দেয়া, ষড়যন্ত্রে পড়ে গিয়েছিল।",,,,,,
"সে ছিল ফুলের আঘাত, সামান্য দুঃখ কষ্ট ভোগ করছিল।",,,,,,
"সে ছিল ফেঁপে ওঠা, ধনবান হয়ে গিয়েছিল।",,,,,,
"সে ছিল ফতো নবাব, সম্বলহীনের বড়লোকিভাব ছিল।",,,,,,
"সে ছিল ফেকলু পার্টি, কদরহীন লোক ছিল।",,,,,,
"সে ছিল ফোঁড়ন দেওয়া, টিপ্পনী কাটা ছিল।",,,,,,
"সে ছিল ফুটিফাটা, চৌচির হয়ে গিয়েছিল।",,,,,,
"সে ছিল ফোঁস মনসা, ক্রোধী লোক ছিল।",,,,,,
"সে ছিল ফিকির খোঁজা, উপায় বা সুযোগ খুঁজছিল।",,,,,,
"সে ছিল ফক্কা করা, নিঃশেষ করা ছিল।",,,,,,
"সে ছিল ফেউ লাগা, পিছনে লেগে বিরক্ত করছিল।",,,,,,
"সে ছিল করা ফরদা ফাঁই, ছিন্নভিন্ন করে ফেলেছিল।",,,,,,
"সে ছিল ফেরফার, কৌশল বা মারপ্যাঁচ চালাচ্ছিল।",,,,,,
"সে ছিল ফেলাছড়া, অপচয় বা অপব্যয় করছিল।",,,,,,
"সে ছিল ফাঁটা কপাল, মন্দভাগ্য ছিল।",,,,,,
"সে ছিল ফোর টুয়েন্টি, ধাপ্পাবাজ ছিল।",,,,,,
"সে ছিল ফোঁড়ন দেয়া বা কাটা, উত্তেজনাকর টিপ্পনী কাটা ছিল।",,,,,,
"সে ছিল ফুলের ঘায়ে মূর্ছা যাওয়া, সামান্য পরিশ্রমে কাতর হয়ে গিয়েছিল।",,,,,,
"সে ছিল ফুলবাবু, বিলাসী বা সৌখিন লোক ছিল।",,,,,,
"সে ছিল ফুটো পয়সার লড়াই, সামান্য বিষয় নিয়ে বিবাদ করছিল।",,,,,,
"সে ছিল ফোপর-দালাল, উপযাচক হয়ে অন্যের ব্যাপারে কথা বলছিল।",,,,,,
"সে ছিল বিন্দু বিসর্গ, সামান্যতম বিষয় নিয়ে আলোচনা করছিল।",,,,,,
"সে ছিল বাঘের আড়ি, নাছোড়বান্দা, সব সময় তার পিছু লেগে থাকত।",,,,,,
"সে ছিল বাঘের আড়ি, গোয়ার্তুমি করে সব কিছুকে প্রবল জেদে ঘিরে ফেলেছিল।",,,,,,
"সে ছিল বারো মাস ত্রিশদিন, প্রতিদিন একই কাজ করত।",,,,,,
"সে ছিল বাড়া ভাতে ছাই, আশা ভঙ্গ হয়ে গিয়েছিল।",,,,,,
"তার মন ছিল বড়র পিরীতি বালির বাঁধ, খুব ভঙ্গুর ছিল তার অনুভূতি।",,,,,,
"সে ছিল বর্ণচোরা, কপটচারী, সব সময় অন্যদের সাথে প্রতারণা করত।",,,,,,
"সে ছিল বউ-কাঁটকি, পুত্রবধূকে যন্ত্রণা দিয়ে চলত।",,,,,,
"সে ছিল বাহাত্তরে ধরা, সব কিছু ভুলে মতিচ্ছন্ন হয়ে গিয়েছিল।",,,,,,
"সে ছিল বিরাশি সিক্কা ওজন, বিপুল ওজন নিয়ে চলত।",,,,,,
"সে ছিল বাঘের মাসি, আরামপ্রিয় ব্যক্তি ছিল।",,,,,,
"সে ছিল বারো ভূত, আত্মীয় লোকজনের সাথে ছিল।",,,,,,
"সে ছিল বইয়ের পোকা, সব সময় পড়ুয়া ছিল।",,,,,,
"সে ছিল বিনা মেঘে বজ্রপাত, আকস্মিক বিপদে পড়ে গিয়েছিল।",,,,,,
"সে ছিল বিষের পুঁটলি, হিংসুটে এবং বিদ্বেষী মন নিয়ে চলত।",,,,,,
"সে ছিল বক ধার্মিক / বিড়াল তপস্বী, ভণ্ড সাধু ছিল।",,,,,,
"সে ছিল বক দেখানো, অশোভন বিদ্রুপ করছিল।",,,,,,
"তার জীবন ছিল বালির বাঁধ, সব কিছু ক্ষণস্থায়ী ছিল।",,,,,,
"সে ছিল বর্ণচোরা আম, কপট ব্যক্তি ছিল।",,,,,,
"সে ছিল ব্যাঙের আধুলি, সামান্য ধনে অহংকার করত।",,,,,,
"সে ছিল বসন্তের কোকিল, সুসময়ের বন্ধু ছিল।",,,,,,
"সে ছিল বিড়ালের খুদ, শ্রদ্ধার সামান্য উপহার দিত।",,,,,,
"সে ছিল বচনবাগীশ, কথায় পটু ছিল।",,,,,,
"সে ছিল বারো সতেরো, খুঁটিনাটি নিয়ে চলত।",,,,,,
"সে ছিল বয়সের গাছ-পাথর না থাকা, অত্যন্ত বৃদ্ধ ছিল।",,,,,,
"সে ছিল বেগার ঠেলা, বিনা পারিশ্রমিকে কাজ করত।",,,,,,
"সে ছিল বুড়ি ছোঁয়া, নামমাত্র নিয়ম পালন করত।",,,,,,
"সে ছিল বগল বাজানো, আনন্দ প্রকাশ করছিল।",,,,,,
"সে ছিল বুড়ো বয়সে চূড়াকরণ, খোকামি করছিল।",,,,,,
"সে ছিল বয়ে যাওয়া, ক্ষতিবৃদ্ধি না বুঝে চলছিল।",,,,,,
"সে ছিল বড় মিঞা, বাঘের মতো শক্তিশালী ছিল।",,,,,,
"সে ছিল বরাখুরে, বদমাশ এবং শুয়োরখেকো ছিল।",,,,,,
"সে ছিল বলিহারি, অপূর্ব এবং চমৎকার ছিল।",,,,,,
"সে ছিল বাঘে ভুলে আঠার ঘা, মারধর করেছিল।",,,,,,
"সে ছিল বুকের পাটা, সাহসী এবং দৃঢ় ছিল।",,,,,,
"তার জীবন ছিল বারো ভূত, অনাত্মীয় লোকজনের মাঝে পড়ে গিয়েছিল।",,,,,,
"সে ছিল বাঘা-বাঘা, বিরাট এবং শক্তিশালী ছিল।",,,,,,
"সে ছিল বাপাস্ত করা, গালাগালি করছিল।",,,,,,
"সে ছিল বিড়ালের ভাগ্য শিকা ছেঁড়া, ভাগ্যক্রমে বিনা চেষ্টাতে কাঙ্খিত বস্তু লাভ করেছিল।",,,,,,
"সে ছিল বারটাই, সব সময় বড়াই করত।",,,,,,
"সে ছিল বাস্তুঘুঘু, অতি ধূর্ত লোক ছিল।",,,,,,
"সে ছিল বারো মাসে তেরো পার্বণ, উৎসবের আধিক্য ছিল তার জীবনে।",,,,,,
"সে ছিল বানরের গলায় মুক্তার হার, অপাত্রে উৎকৃষ্ট সামগ্রী দান করছিল।",,,,,,
"সে ছিল বাঙালকে হাইকোর্ট দেখানো, সরল লোককে প্রতারিত করছিল।",,,,,,
"সে ছিল বামনের গরু, অল্প পারিশ্রমিকে বেশি কাজ করত।",,,,,,
"সে ছিল বয়স ফোঁড়া, যৌবনের সূচনালগ্নে যে ব্রণ দেখা যায়।",,,,,,
"সে ছিল বিড়ালের গলায় ঘণ্টা বাঁধা, বিপদের ঝুঁকি নেয়া ছিল।",,,,,,
"সে ছিল উলুবনে মুক্তো ছড়ানো, অপাত্রে মূল্যবান জিনিস ফেলা ছিল।",,,,,,
"সে ছিল ব্রজের গোপাল বা দুলাল, আদুরে এবং অকর্মণ্য ছেলে ছিল।",,,,,,
"সে ছিল বিড়ালের আড়াই পা, বেহায়াপনা এবং ক্ষণস্থায়ী রাগ ছিল।",,,,,,
"সে ছিল বিন্দেদূতী, যে পরস্পরের মধ্যে কথা চালাচালি করত।",,,,,,
"সে ছিল বামন হয়ে চাঁদে হাত, অসম্ভব কিছু পাওয়ার চেষ্টা করছিল।",,,,,,
"সে ছিল বোঝার উপর শাকের আঁটি, অতিরিক্তের অতিরিক্ত করছিল।",,,,,,
"সে ছিল বাজখাই আওয়াজ, অত্যন্ত কর্কশ গলার আওয়াজ ছিল।",,,,,,
"সে ছিল বজ্র আঁটুনি ফস্কা গেরো, বাইরে আড়ম্বর ভেতরে শূন্যতা ছিল।",,,,,,
"সে ছিল বিষ নেই তার কুলোপনা চক্কর, অক্ষম ব্যক্তির বৃথা আস্ফালন করছিল।",,,,,,
"সে ছিল ব্যাঙের লাথি, নগণ্য লোকের দ্বারা অপমানিত হচ্ছিল।",,,,,,
"সে ছিল বিদুরের খুদ, গরিব ভক্তের সামান্য উপহার ছিল।",,,,,,
"সে ছিল বেলেল্লাপনা, অসভ্য আচরণ করছিল।",,,,,,
"সে ছিল বরের ঘরে পিসী কনের ঘরে মাসী, উভয় কুল রক্ষা করে চলছিল।",,,,,,
"সে ছিল বাঘে গরুতে এক ঘাটে জল খাওয়া, ক্ষমতা প্রদর্শন করতে চাইছিল।",,,,,,
"সে ছিল বেল পাকলে কাকের কি, উপভোগ করতে অক্ষম ব্যক্তির উৎকৃষ্ট সামগ্রীর প্রতি লোভ করছিল।",,,,,,
"সে ছিল বন্যেরা বনে সুন্দর শিশুরা মাতৃক্রোড়ে, জীবনমাত্রই স্বাভাবিক অবস্থানে সুন্দর ছিল।",,,,,,
"সে ছিল ভুঁইফোড়, সব সময় নতুন নতুন ভাবনা নিয়ে আসত।",,,,,,
"সে ছিল ভাগার ফলা, সব সময় অপ্রতিকূল অবস্থা সৃষ্টি করত।",,,,,,
"সে ছিল ভিজে বিড়াল, কপটভাবে সবাইকে দেখাত।",,,,,,
"সে ছিল ভানুমতির খেল, সব কিছু যাদুবিদ্যার মতো মেনে চলত।",,,,,,
"সে ছিল ভরাডুবি, সর্বনাশ হয়ে গিয়েছিল তার জীবন।",,,,,,
"তার জীবন ছিল ভাড়ে মা ভবানী, সব কিছু রিক্ত ছিল।",,,,,,
"সে ছিল ভেরেণ্ডা ভাজা, অকাজের কাজ করছিল।",,,,,,
"সে ছিল ভিটের ঘুঘু চরানো, সর্বস্বান্ত হয়ে গিয়েছিল।",,,,,,
"সে ছিল ভাগ্যের দোহাই দেয়া, কপালে হাত দিয়ে ভাগ্যকেই দোষ দিচ্ছিল।",,,,,,
"সে ছিল ভেড়ার পাল, সবাইকে অন্ধ অনুকরণ করতে দেখত।",,,,,,
"সে ছিল ভেড়াকান্ত, শ্রেষ্ঠ বোকা ছিল।",,,,,,
"সে ছিল ভীষ্মের প্রতিজ্ঞা, অনড় সংকল্প নিয়ে চলছিল।",,,,,,
"তার জীবন ছিল ভালুক জ্বর, এই আসে এই যায়।",,,,,,
"সে ছিল ভক্তবিটেল, ভণ্ড ছিল।",,,,,,
"সে ছিল ভয়ে কেঁচো হয়ে থাকা, ভয়ে সবকিছু থেকে দূরে ছিল।",,,,,,
"সে ছিল ভাদ্র মাসের তাল, প্রচণ্ড কিল মারছিল।",,,,,,
"সে ছিল ভূতের ব্যাগার, সব কিছু অযথা শ্রমে ফেলে দিচ্ছিল।",,,,,,
"সে ছিল ভক্তি দেয়া, সব কিছু ফাঁকি দেয়ার জন্য ছিল।",,,,,,
"সে ছিল ভজকট, ঝঞ্ঝাটে আবদ্ধ ছিল।",,,,,,
"সে ছিল ভাতে মারা, অন্নসংস্থান বন্ধ হয়ে গিয়েছিল।",,,,,,
"সে ছিল ভিতর বার এক, অকপট ছিল।",,,,,,
"সে ছিল ভুলচুক / ভুল কাটকা, ছোটখাটো ভুল করে ফেলেছিল।",,,,,,
"সে ছিল ভুসিমাল, সব কিছু বাজে ছিল।",,,,,,
"সে ছিল ভুশুড়ি ভাঙা, অবিরাম গল্প করে যাচ্ছিল।",,,,,,
"সে ছিল ভুষ্টি নাশ করা, সব কিছু ধ্বংস করে ফেলছিল।",,,,,,
"সে ছিল ভূতছাড়া করা, মারধর করে সব কিছু শায়েস্তা করে ফেলেছিল।",,,,,,
"সে ছিল ভোগা দেয়া, সব কিছু ফাঁকি দিয়ে চলছিল।",,,,,,
"সে ছিল ভ্যাবা গঞ্জারাম, একজন নিরেট বোকা ছিল।",,,,,,
"সে ছিল ভূতের বাপের শ্রাদ্ধ, অতিরিক্ত ব্যয় করছিল।",,,,,,
"সে ছিল ভিরমি খাওয়া, মূর্ছা হয়ে গিয়েছিল।",,,,,,
"সে ছিল ভরাডুবির মুষ্টিলাভ, শেষ সম্বল নিয়ে চলছিল।",,,,,,
"সে ছিল ভাঁড়ের কলসী, স্বার্থসিদ্ধির উপায় খুঁজে বের করছিল।",,,,,,
"সে ছিল ভিদভিদে, চাপা স্বভাবের লোক ছিল।",,,,,,
"সে ছিল ভবী ভোলবার নয় / ভবী ভোলে না, সব কিছুতেই নাছোড়বান্দা ছিল।",,,,,,
"সে ছিল ভাগের মা গঙ্গা পায় না, ভাগাভাগির কাজ সিদ্ধ হচ্ছিল না।",,,,,,
"সে ছিল ভীমরুলের চাকে খোঁচা দেওয়া, সবাইকে উস্কানি দিচ্ছিল।",,,,,,
"সে ছিল ভূতের মুখে রাম নাম, অসম্ভব ব্যাপার বলছিল।",,,,,,
"সে ছিল ভূত ঝাড়া, অন্যদের কঠোরভাবে প্রহার বা গালি দিচ্ছিল।",,,,,,
"সে সব সময় গেঁড়াকল করত, লোকজনকে ঠকাতে নানা কৌশল ব্যবহার করত।",,,,,,
"সে সব সময় গ্যাট হয়ে বসে থাকত, একদম নড়াচড়া করত না।",,,,,,
"তার পরিবার ছিল গঁদের গঁদ, সম্পর্ক ছিল খুবই দূরের।",,,,,,
"সে খুব মোটা হয়ে গিয়েছিল, তার শরীরে গণ্ডি লাগছিল।",,,,,,
"তার জীবনে এখন গভীর গাড্ডা তৈরি হয়েছে, সমস্যা আরেকটার পর আরেকটা এসে জমা হচ্ছিল।",,,,,,
"সে সব সময় গররাজি থাকত, কোনো কাজ করতে তার মনোবল ছিল না।",,,,,,
"পুলিশ গাঁতের মাল উদ্ধার করেছে, চোরাই মাল এখন ফিরিয়ে দেওয়া হয়েছে।",,,,,,
"সে সব সময় গাব করত, যখন কিছু গায়েব হয়ে যায় তখন সে গাব করতে শুরু করে।",,,,,,
"তার সব কাজ গুবলেট হয়ে গিয়েছিল, সব কিছু এলোমেলো হয়ে গিয়েছিল।",,,,,,
"সে সব সময় গুলতানি করত, বাজে আড্ডা দিত এবং অন্যদের বিরক্ত করত।",,,,,,
"তার আচরণ ছিল গুলপট্টি, সবাই তাকে খারাপ আচরণের জন্য সমালোচনা করত।",,,,,,
"সে সব সময় অন্যদের গুলি মারত, কোনো কিছু নিয়ে তোয়াক্কা না করত।",,,,,,
"সে সব সময় গোষ্ঠির তুষ্টি করত, অন্যদের পছন্দের জন্য কাজ করত।",,,,,,
"আজ অফিসে গোলে হরিবল পরিস্থিতি তৈরি হয়েছিল, সবাই বিভ্রান্ত হয়ে গিয়েছিল।",,,,,,
"সে গোড়ায় কেটে আগায় জল ঢালার চেষ্টা করেছিল, কিন্তু ফলস্বরূপ কিছুই পরিবর্তন হয়নি।",,,,,,
"তার জীবনে গরিবের ঘোড়া রোগের মতো পরিস্থিতি ছিল, কিছুই ভালোভাবে চলছিল না।",,,,,,
"সে সব সময় গাছে তুলে মই কাড়ার মতো কাজ করত, সাহায্যের কথা বলে সাহায্য না করত।",,,,,,
"তার মতো এক কাঁদি ছিল, কিন্তু কাজে অবতীর্ণ হলে প্রাপ্তির আশা করছিল।",,,,,,
"সে ছিল গজেন্দ্রগমন বা গদাই লস্করি চাল, সব কাজ ধীর গতিতে করত।",,,,,,
"সে সবসময় নতুন নতুন ব্যবসায় ঘা খেয়ে শিখত, তবে কখনও হার মানত না।",,,,,,
"সে ছিল ঘাঘু, সব সময় নানা কৌশলে সমস্যা সমাধান করত।",,,,,,
"দাদু ঘাটের মরা ছিল, বয়সের কারণে সব কিছু ধীরে করত, কিন্তু তার অভিজ্ঞতা অনেক ছিল।",,,,,,
"রাজু ছিল এক ঘটিরাম, সব কাজের মধ্যে ব্যর্থতা ছিল।",,,,,,
"সে ছিল ঘোড়া রোগে আক্রান্ত, সব সময় তার সাধ্যের বাইরে কিছু চাইত।",,,,,,
"আমাদের বাড়ির মধ্যে অনেক গোপন তথ্য ছিল, যা ছিল এক অজ্ঞাতমূল।",,,,,,
"সবার কাছে সে ঘরের শত্রু বিভীষণ ছিল, পরিবারে সব সময় বিতর্ক লাগাত।",,,,,,
"তার স্বভাব ছিল ঘরভেদী বিভীষণ, তার নিজস্ব পরিবারকে কখনো বিশ্বাস করা যেত না।",,,,,,
"সে ছিল ঘুমগড়ে, কাজের প্রতি একদম আগ্রহী ছিল না।",,,,,,
"সে ছিল এক জালিয়াত, সবার কাছে সজ্জন মনে হলেও আসলে সে অনেক ধোঁকাবাজি করেছিল।",,,,,,
"তার শরীর ছিল ঘাড়ে-গর্দানে, একদম মোটা এবং ভারী ছিল।",,,,,,
"সে এখন অনেক ঘুণ হয়ে গিয়েছে, দক্ষতার সঙ্গে কাজগুলো এখন সহজেই করতে পারে।",,,,,,
"সে সব সময় ঘণ্টাগরুড়ের মতো ছিল, কখনোই কোনো কাজে হাত লাগাত না।",,,,,,
সে সব সময় অন্যদের ঘেঁষ দিয়ে তাদের সাহায্য নেওয়ার চেষ্টা করত।,,,,,,
